Data;12 - Taxa de juros - CDI - % a.d.
01/10/2001;0,069386
02/10/2001;0,069420
03/10/2001;0,069420
04/10/2001;0,069353
05/10/2001;0,069320
08/10/2001;0,069286
09/10/2001;0,069253
10/10/2001;0,069186
11/10/2001;0,069186
15/10/2001;0,069186
16/10/2001;0,069153
17/10/2001;0,069120
18/10/2001;0,069186
19/10/2001;0,069153
22/10/2001;0,069153
23/10/2001;0,069186
24/10/2001;0,069186
25/10/2001;0,069153
26/10/2001;0,069120
29/10/2001;0,069186
30/10/2001;0,069153
31/10/2001;0,069153
01/11/2001;0,069153
05/11/2001;0,069186
06/11/2001;0,069186
07/11/2001;0,069220
08/11/2001;0,069186
09/11/2001;0,069220
12/11/2001;0,069220
13/11/2001;0,069186
14/11/2001;0,069220
16/11/2001;0,069220
19/11/2001;0,069220
20/11/2001;0,069220
21/11/2001;0,069153
22/11/2001;0,069220
23/11/2001;0,069220
26/11/2001;0,069220
27/11/2001;0,069220
28/11/2001;0,069220
29/11/2001;0,069220
30/11/2001;0,069253
03/12/2001;0,069253
04/12/2001;0,069253
05/12/2001;0,069320
06/12/2001;0,069286
07/12/2001;0,069286
10/12/2001;0,069253
11/12/2001;0,069286
12/12/2001;0,069253
13/12/2001;0,069186
14/12/2001;0,069186
17/12/2001;0,069220
18/12/2001;0,069220
19/12/2001;0,069220
20/12/2001;0,069220
21/12/2001;0,069253
24/12/2001;0,069253
26/12/2001;0,069153
27/12/2001;0,069120
28/12/2001;0,069120
31/12/2001;0,069120
02/01/2002;0,069120
03/01/2002;0,069120
04/01/2002;0,069153
07/01/2002;0,069153
08/01/2002;0,069120
09/01/2002;0,069153
10/01/2002;0,069153
11/01/2002;0,069120
14/01/2002;0,069120
15/01/2002;0,069120
16/01/2002;0,069120
17/01/2002;0,069120
18/01/2002;0,069120
21/01/2002;0,069153
22/01/2002;0,069120
23/01/2002;0,069086
24/01/2002;0,069120
25/01/2002;0,069120
28/01/2002;0,069120
29/01/2002;0,069120
30/01/2002;0,069120
31/01/2002;0,069153
01/02/2002;0,069186
04/02/2002;0,069186
05/02/2002;0,069186
