Ativo,Código,Fundo,Vencimento_final,Sub Classe,Emissor
LF00240072E,LF00240072E,BMG SEG,2026-03-02,Títulos Privados,BANCO XP
LF00240072E,LF00240072E,JERA2026,2026-03-02,Títulos Privados,BANCO XP
LFSC19002CE,LFSC19002CE,JERA2026,2029-04-09,Títulos Privados,BANCO BMG S.A.
LFSC19002HS,LFSC19002HS,JERA2026,2029-04-09,Títulos Privados,BANCO BMG S.A.
LFSC19002CD,LFSC19002CD,JERA2026,2029-04-09,Títulos Privados,BANCO BMG S.A.
CDB3251WXH0,CDB3251WXH0,BMG SEG,2027-03-08,Títulos Privados,AGIBANK
CDB3251WXH0,CDB3251WXH0,JERA2026,2027-03-08,Títulos Privados,AGIBANK
CDB3251WXH0,CDB3251WXH0,REAL FIM,2027-03-08,Títulos Privados,AGIBANK
LFSN1900008,LFSN1900008,FIRF GERAES,2027-01-08,LFSN,BANCO SAFRA S.A.
LFSN1800HXO,LFSN1800HXO,FIRF GERAES,2026-11-06,LFSN,BANCO SAFRA S.A.
LFSN1900CR5,LFSN1900CR5,FIRF GERAES 30,2029-08-13,LFSN,BANCO SAFRA S.A.
LFSN1800DS5,LFSN1800DS5,JERA2026,2026-08-17,LFSN,BANCO SAFRA S.A.
LFSN19001BH,LFSN19001BH,BH FIRF INFRA,2027-04-09,LFSN,BANCO BTG PACTUAL S.A.
LFSN19006KN,LFSN19006KN,FIRF GERAES,2028-05-31,LFSN,BANCO BTG PACTUAL S.A.
LFSN19006KM,LFSN19006KM,FIRF GERAES 30,2028-05-31,LFSN,BANCO BTG PACTUAL S.A.
LFSN19006KM,LFSN19006KM,HORIZONTE,2028-05-31,LFSN,BANCO BTG PACTUAL S.A.
LFSN19001BC,LFSN19001BC,JERA2026,2027-04-09,LFSN,BANCO BTG PACTUAL S.A.
LFSN19006KM,LFSN19006KM,MANACA INFRA FIRF,2028-05-31,LFSN,BANCO BTG PACTUAL S.A.
