Sub Classe,Emissor,Ativo,Vencimento_final,Fundo,ISIN,COD_XP,KEY_STRICT
CDB,BANCO MERCANTIL DO BRASIL S.A.,CDB MERCANTIL OUT25 (CDBA245P84B),2025-10-13,FIRF GERAES 30,BRBMEBC018B3,,CDB | CDB MERCANTIL OUT25 (CDBA245P84B) | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES 30 | 2025-10-13
CDB,BANCO MERCANTIL DO BRASIL S.A.,CDB MERCANTIL OUT25 (CDBA245P84C),2025-10-13,FIRF GERAES 30,BRBMEBC018B3,,CDB | CDB MERCANTIL OUT25 (CDBA245P84C) | BANCO MERCANTIL DO BRASIL S.A. | FIRF GERAES 30 | 2025-10-13
CDB,BANCO MERCANTIL DO BRASIL S.A.,CDB MERCANTIL OUT25 (CDBA245P84D),2025-10-13,MANACA INFRA FIRF,BRBMEBC018B3,,CDB | CDB MERCANTIL OUT25 (CDBA245P84D) | BANCO MERCANTIL DO BRASIL S.A. | MANACA INFRA FIRF | 2025-10-13
CDB,BANCO MERCANTIL DO BRASIL S.A.,CDB MERCANTIL OUT25 (CDBA245P84E),2025-10-13,MANACA INFRA FIRF,BRBMEBC018B3,,CDB | CDB MERCANTIL OUT25 (CDBA245P84E) | BANCO MERCANTIL DO BRASIL S.A. | MANACA INFRA FIRF | 2025-10-13
CDB,BANCO BTG PACTUAL S.A.,CDB3239C4TL,2026-07-20,BBRASIL FIM CP RESP,BRBPACC0F3U7,,CDB | CDB3239C4TL | BANCO BTG PACTUAL S.A. | BBRASIL FIM CP RESP | 2026-07-20
CDB,PARANA BANCO S.A.,CDB3253PPYA,2026-03-10,JERA2026,BRPRBCC059P8,606488-CDB,CDB | CDB3253PPYA | PARANA BANCO S.A. | JERA2026 | 2026-03-10
CDB,PARANA BANCO S.A.,CDB3253PPYA,2026-03-10,BH FIRF INFRA,BRPRBCC059P8,,CDB | CDB3253PPYA | PARANA BANCO S.A. | BH FIRF INFRA | 2026-03-10
CDB,PARANA BANCO S.A.,CDB3253PPYA,2026-03-10,FIRF GERAES,BRPRBCC059P8,,CDB | CDB3253PPYA | PARANA BANCO S.A. | FIRF GERAES | 2026-03-10
CDB,PARANA BANCO S.A.,CDB3253PPYA,2026-03-10,FIRF GERAES 30,BRPRBCC059P8,,CDB | CDB3253PPYA | PARANA BANCO S.A. | FIRF GERAES 30 | 2026-03-10
CDB,PARANA BANCO S.A.,CDB3253PPYA,2026-03-10,MANACA INFRA FIRF,BRPRBCC059P8,,CDB | CDB3253PPYA | PARANA BANCO S.A. | MANACA INFRA FIRF | 2026-03-10
CDB,PARANA BANCO S.A.,CDB3253PPYA,2026-03-10,REAL FIM,BRPRBCC059P8,606488-CDB,CDB | CDB3253PPYA | PARANA BANCO S.A. | REAL FIM | 2026-03-10
