Sub Classe,Ativo,Emissor,Fundo,Vencimento_final,KEY_STRICT
Títulos Privados,LF00240072E,BANCO XP,BMG SEG,2026-03-02,TITULOS PRIVADOS | LF00240072E | BANCO XP | BMG SEG | 2026-03-02
Títulos Privados,LF00240072E,BANCO XP,JERA2026,2026-03-02,TITULOS PRIVADOS | LF00240072E | BANCO XP | JERA2026 | 2026-03-02
Títulos Privados,LFSC19002CE,BANCO BMG S.A.,JERA2026,2029-04-09,TITULOS PRIVADOS | LFSC19002CE | BANCO BMG S.A. | JERA2026 | 2029-04-09
Títulos Privados,LFSC19002HS,BANCO BMG S.A.,JERA2026,2029-04-09,TITULOS PRIVADOS | LFSC19002HS | BANCO BMG S.A. | JERA2026 | 2029-04-09
Títulos Privados,LFSC19002CD,BANCO BMG S.A.,JERA2026,2029-04-09,TITULOS PRIVADOS | LFSC19002CD | BANCO BMG S.A. | JERA2026 | 2029-04-09
Títulos Privados,CDB3251WXH0,AGIBANK,BMG SEG,2027-03-08,TITULOS PRIVADOS | CDB3251WXH0 | AGIBANK | BMG SEG | 2027-03-08
Títulos Privados,CDB3251WXH0,AGIBANK,JERA2026,2027-03-08,TITULOS PRIVADOS | CDB3251WXH0 | AGIBANK | JERA2026 | 2027-03-08
Títulos Privados,CDB3251WXH0,AGIBANK,REAL FIM,2027-03-08,TITULOS PRIVADOS | CDB3251WXH0 | AGIBANK | REAL FIM | 2027-03-08
LFSN,LFSN1900008,BANCO SAFRA S.A.,FIRF GERAES,2027-01-08,LFSN | LFSN1900008 | BANCO SAFRA S.A. | FIRF GERAES | 2027-01-08
LFSN,LFSN1800HXO,BANCO SAFRA S.A.,FIRF GERAES,2026-11-06,LFSN | LFSN1800HXO | BANCO SAFRA S.A. | FIRF GERAES | 2026-11-06
LFSN,LFSN1900CR5,BANCO SAFRA S.A.,FIRF GERAES 30,2029-08-13,LFSN | LFSN1900CR5 | BANCO SAFRA S.A. | FIRF GERAES 30 | 2029-08-13
LFSN,LFSN1800DS5,BANCO SAFRA S.A.,JERA2026,2026-08-17,LFSN | LFSN1800DS5 | BANCO SAFRA S.A. | JERA2026 | 2026-08-17
LFSN,LFSN19001BH,BANCO BTG PACTUAL S.A.,BH FIRF INFRA,2027-04-09,LFSN | LFSN19001BH | BANCO BTG PACTUAL S.A. | BH FIRF INFRA | 2027-04-09
LFSN,LFSN19006KN,BANCO BTG PACTUAL S.A.,FIRF GERAES,2028-05-31,LFSN | LFSN19006KN | BANCO BTG PACTUAL S.A. | FIRF GERAES | 2028-05-31
LFSN,LFSN19006KM,BANCO BTG PACTUAL S.A.,FIRF GERAES 30,2028-05-31,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | FIRF GERAES 30 | 2028-05-31
