TIPO,Tem_fluxo,CicloJuros,AgendaJuros,IncorporaJuros,DataRef,Emissor,cod_Ativo,Codigo_IF,ISIN,Data Emissão,vencimento,PU_emissão,TipoJuros,pct_flutuante,spread,FormaCDI,taxa_emissão,Data_prox_juros,Data Call Inicial,Call_Periodicidade,Call_Inicio_Apos_anos,Data Call Proxima,source_file,pages_total,pages_blank,pages_used,extractor_used,leitura_ok,sanity_check,sanity_notes,debug_bloco_juros,debug_bloco_call,cod_Ativo_count,is_unico,cod_Ativo_group_index,unico_index,Data Proximo Juros,cod_Ativo_norm,cod_root
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,22L1125977,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cri cra\22L1125977.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,292,291,,22L1125977,22L1125977
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,AGSF13,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\AGSF13.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,408,407,,AGSF13,AGSF13
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CEROA3,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CEROA3.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,834,833,,CEROA3,CEROA3
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CERT11,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CERT11.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,835,834,,CERT11,CERT11
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CHSF12,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CHSF12.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,842,841,,CHSF12,CHSF12
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CMDT33,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CMDT33.pdf,1,0,1,debug_text,True,FAIL,"missing: tipo,emissor,datas",,,1,True,844,843,,CMDT33,CMDT33
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CRNP11,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CRNP11.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,859,858,,CRNP11,CRNP11
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,LAMEA2,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\LAMEA2.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,927,926,,LAMEA2,LAMEA2
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,LCAMA5,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\LCAMA5.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,931,930,,LCAMA5,LCAMA5
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,MOVI22,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\MOVI22.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1353,1351,,MOVI22,MOVI22
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,NATU17,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\NATU17.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1370,1368,,NATU17,NATU17
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,NATU27,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\NATU27.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1371,1369,,NATU27,NATU27
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,OMGE13,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\OMGE13.pdf,1,0,1,debug_text,True,FAIL,"missing: tipo,emissor,datas",,,1,True,1394,1392,,OMGE13,OMGE13
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,SMFT14,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\SMFT14.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1429,1427,,SMFT14,SMFT14
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,SMFT24,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\SMFT24.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1431,1429,,SMFT24,SMFT24
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,SMFT34,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\SMFT34.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1432,1430,,SMFT34,SMFT34
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,SMFT44,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\SMFT44.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1433,1431,,SMFT44,SMFT44
,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,SUMI17,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\SUMI17.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1437,1435,,SUMI17,SUMI17
CDB,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CDB0178CNQS,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cdb\CDB0178CNQS.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: emissor,datas",,,1,True,457,456,,CDB0178CNQS,CDB0178CNQ
CDB,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CDB017VEQ06,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cdb\CDB017VEQ06.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: emissor,datas",,,1,True,488,487,,CDB017VEQ06,CDB017VEQ06
CDB,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CDB11939ZUE,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cdb\CDB11939ZUE.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: emissor,datas",,,1,True,496,495,,CDB11939ZUE,CDB11939ZU
CDB,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CDB218AR2P0,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cdb\CDB218AR2P0.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: emissor,datas",,,1,True,564,563,,CDB218AR2P0,CDB218AR2P0
CDB,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CDB3187D5AH,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cdb\CDB3187D5AH.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: emissor,datas",,,1,True,633,632,,CDB3187D5AH,CDB3187D5A
CDB,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CDB3187D5AI,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cdb\CDB3187D5AI.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: emissor,datas",,,1,True,634,633,,CDB3187D5AI,CDB3187D5A
CDB,BULLET,BULLET,,DESCONHECIDO,2025-10-17,,CDB3187IK18,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cdb\CDB3187IK18.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: emissor,datas",,,1,True,635,634,,CDB3187IK18,CDB3187IK18
