Sub Classe,Emissor,Ativo,Vencimento_final,Fundo,ISIN,COD_XP,KEY_STRICT
Títulos Privados,BANCO XP,LF00240072E,2026-03-02,BMG SEG,,,TITULOS PRIVADOS | LF00240072E | BANCO XP | BMG SEG | 2026-03-02
Títulos Privados,BANCO XP,LF00240072E,2026-03-02,JERA2026,,,TITULOS PRIVADOS | LF00240072E | BANCO XP | JERA2026 | 2026-03-02
Títulos Privados,AGIBANK,CDB3251WXH0,2027-03-08,BMG SEG,,,TITULOS PRIVADOS | CDB3251WXH0 | AGIBANK | BMG SEG | 2027-03-08
Títulos Privados,AGIBANK,CDB3251WXH0,2027-03-08,JERA2026,,,TITULOS PRIVADOS | CDB3251WXH0 | AGIBANK | JERA2026 | 2027-03-08
Títulos Privados,AGIBANK,CDB3251WXH0,2027-03-08,REAL FIM,,,TITULOS PRIVADOS | CDB3251WXH0 | AGIBANK | REAL FIM | 2027-03-08
Letra Financeira,BANCO XP,LF0024008OB,2026-03-23,BMG SEG,,,LETRA FINANCEIRA | LF0024008OB | BANCO XP | BMG SEG | 2026-03-23
Letra Financeira,BANCO XP,LF0024008OB,2026-03-23,FIRF GERAES,,,LETRA FINANCEIRA | LF0024008OB | BANCO XP | FIRF GERAES | 2026-03-23
Letra Financeira,BANCO XP,LF0024007Y4,2026-03-16,FIRF GERAES,,,LETRA FINANCEIRA | LF0024007Y4 | BANCO XP | FIRF GERAES | 2026-03-16
CDB,BANCO VOLKSWAGEN S/A,CDB925CDN0L,2025-12-22,BBRASIL FIM CP RESP,,,CDB | CDB925CDN0L | BANCO VOLKSWAGEN S/A | BBRASIL FIM CP RESP | 2025-12-22
CDB,AGIBANK,CDB3251WXH0,2027-03-08,BH FIRF INFRA,,,CDB | CDB3251WXH0 | AGIBANK | BH FIRF INFRA | 2027-03-08
CDB,AGIBANK,CDB3251WXH0,2027-03-08,FIRF GERAES,,,CDB | CDB3251WXH0 | AGIBANK | FIRF GERAES | 2027-03-08
CDB,AGIBANK,CDB3251WXH0,2027-03-08,FIRF GERAES 30,,,CDB | CDB3251WXH0 | AGIBANK | FIRF GERAES 30 | 2027-03-08
CDB,AGIBANK,CDB3251WXH0,2027-03-08,TOPAZIO INFRA,,,CDB | CDB3251WXH0 | AGIBANK | TOPAZIO INFRA | 2027-03-08
